Data,Ostatnio,Otwarcie,Max.,Min.,Wol.,Zmiana%
26.03.2019,89.19,$89.65 ,90.29,88.67,97.32M,0.54%
27.03.2019,88.28,$89.21 ,89.38,87.28,86.50M,-1.02%
28.03.2019,88.67,$88.50 ,88.9,87.67,60.86M,0.44%
29.03.2019,89.04,$89.33 ,89.64,88.83,66.42M,0.42%
01.04.2019,90.71,$90.01 ,90.78,89.94,84.78M,1.88%
02.04.2019,90.7,$90.55 ,91,90.26,68.96M,-0.01%
03.04.2019,91.03,$91.34 ,91.5,90.48,79.61M,0.36%
04.04.2019,90.94,$91.03 ,91.44,90.21,72.48M,-0.10%
05.04.2019,91.86,$91.45 ,91.93,91.26,72.81M,1.01%
08.04.2019,92.49,$91.66 ,92.51,91.26,75.06M,0.69%
09.04.2019,91.79,$92.27 ,92.65,91.59,74.29M,-0.76%
10.04.2019,92.37,$92.05 ,92.4,91.44,59.28M,0.63%
11.04.2019,92.2,$92.44 ,92.5,92.02,53.10M,-0.18%
12.04.2019,92.15,$92.42 ,92.58,92.06,62.29M,-0.05%
15.04.2019,92.24,$92.10 ,92.34,90.94,74.49M,0.10%
16.04.2019,93.15,$92.57 ,93.49,92.4,60.89M,0.99%
17.04.2019,93.24,$93.65 ,93.82,93.02,57.87M,0.10%
18.04.2019,93.08,$93.44 ,93.54,92.97,55.00M,-0.17%
22.04.2019,94.37,$92.77 ,94.42,92.28,67.48M,1.39%
23.04.2019,96.19,$94.56 ,96.46,94.48,92.81M,1.93%
24.04.2019,95.09,$96.25 ,96.48,94.91,73.52M,-1.14%
25.04.2019,95.11,$95.85 ,96.12,95.02,121.98M,0.02%
26.04.2019,97.53,$96.45 ,97.55,94.9,168.65M,2.54%
29.04.2019,96.92,$97.45 ,97.82,96.7,80.43M,-0.63%
30.04.2019,96.33,$96.50 ,96.79,95.35,70.12M,-0.61%
01.05.2019,95.58,$96.65 ,97.18,95.53,62.34M,-0.78%
02.05.2019,95.04,$95.67 ,96.08,94.09,79.26M,-0.56%
03.05.2019,98.12,$97.45 ,98.22,96.8,127.63M,3.24%
06.05.2019,97.53,$95.90 ,97.95,95.53,108.36M,-0.60%
07.05.2019,96.05,$97.00 ,97.46,95.17,118.04M,-1.52%
08.05.2019,95.89,$95.94 ,96.77,95.5,81.57M,-0.17%
09.05.2019,94.99,$95.00 ,95.47,93.8,106.17M,-0.94%
10.05.2019,94.5,$94.90 ,95.19,92.8,114.36M,-0.52%
13.05.2019,91.13,$91.83 ,92.33,90.9,115.67M,-3.57%
14.05.2019,92.01,$91.97 ,92.62,90.79,92.58M,0.97%
15.05.2019,93.56,$91.40 ,93.72,91.15,93.85M,1.68%
16.05.2019,95.38,$94.30 ,95.88,94.11,94.16M,1.95%
17.05.2019,93.45,$94.65 ,95.53,93.37,94.73M,-2.02%
20.05.2019,92.95,$92.63 ,93.39,91.78,75.96M,-0.54%
21.05.2019,92.88,$93.74 ,93.95,92.3,80.10M,-0.08%
22.05.2019,92.98,$92.59 ,93.57,92.55,58.73M,0.11%
23.05.2019,90.77,$91.83 ,92.2,90.21,88.49M,-2.38%
24.05.2019,91.16,$91.79 ,92.09,90.89,67.39M,0.43%
28.05.2019,91.82,$91.64 ,92.46,91.37,64.00M,0.72%
29.05.2019,90.96,$91.16 ,91.5,90.38,85.58M,-0.94%
30.05.2019,90.82,$91.27 ,91.47,90.39,62.94M,-0.15%
31.05.2019,88.75,$89.50 ,89.78,88.64,92.38M,-2.28%
03.06.2019,84.63,$88.00 ,88.31,83.6,181.97M,-4.64%
04.06.2019,86.48,$84.96 ,86.54,84.04,113.58M,2.19%
05.06.2019,86.92,$87.48 ,87.6,85.76,84.80M,0.51%
06.06.2019,87.72,$86.89 ,88,86.31,73.79M,0.92%
07.06.2019,90.2,$88.19 ,90.31,87.97,96.16M,2.83%
10.06.2019,93.03,$91.10 ,94.24,90.9,107.42M,3.14%
11.06.2019,93.19,$94.16 ,94.69,92.9,80.85M,0.17%
12.06.2019,92.77,$92.70 ,93.25,92.22,53.57M,-0.45%
13.06.2019,93.52,$93.34 ,94.15,93.11,55.92M,0.81%
14.06.2019,93.48,$93.20 ,93.8,92.95,57.02M,-0.04%
17.06.2019,94.3,$93.83 ,94.78,93.77,52.69M,0.88%
18.06.2019,95.07,$95.07 ,96.08,94.99,77.91M,0.82%
19.06.2019,95.44,$95.39 ,95.98,94.62,57.91M,0.39%
20.06.2019,95.91,$96.67 ,96.76,95.29,64.34M,0.49%
21.06.2019,95.56,$95.81 ,96.3,95.38,78.67M,-0.36%
24.06.2019,95.69,$95.63 ,95.84,95.06,45.66M,0.14%
25.06.2019,93.91,$95.59 ,95.82,93.62,60.25M,-1.86%
26.06.2019,94.89,$94.62 ,95.19,94.37,48.84M,1.04%
27.06.2019,95.21,$95.10 ,95.56,94.9,42.83M,0.34%
28.06.2019,94.68,$95.45 ,95.65,94.2,60.75M,-0.56%
01.07.2019,96.11,$96.15 ,96.49,95.73,64.07M,1.51%
02.07.2019,96.72,$95.97 ,96.74,95.33,53.03M,0.63%
03.07.2019,96.95,$96.79 ,97.08,96.53,33.81M,0.24%
05.07.2019,97.15,$96.43 ,97.3,96.27,52.57M,0.21%
08.07.2019,97.62,$96.71 ,97.8,96.41,57.67M,0.48%
09.07.2019,99.42,$97.39 ,99.5,97.17,86.91M,1.84%
10.07.2019,100.87,$99.83 ,101.25,99.77,98.64M,1.46%
11.07.2019,100.05,$101.28 ,101.79,99.77,86.36M,-0.81%
12.07.2019,100.55,$100.41 ,100.85,100.19,50.19M,0.50%
15.07.2019,101.05,$101.07 ,101.14,100.08,59.63M,0.50%
16.07.2019,100.5,$100.53 ,101.32,100.06,52.36M,-0.54%
17.07.2019,99.6,$100.35 ,100.6,99.6,51.18M,-0.90%
18.07.2019,98.89,$99.00 ,99.38,97.58,70.09M,-0.71%
19.07.2019,98.23,$99.56 ,99.8,98.11,63.71M,-0.67%
22.07.2019,99.28,$98.56 ,99.45,97.91,58.16M,1.07%
23.07.2019,99.72,$99.80 ,99.89,98.66,54.07M,0.44%
24.07.2019,100.04,$98.47 ,100.06,98.29,52.63M,0.32%
